"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V272",15.485369682312,-40.6559219360352,3.43201637268066,14.7294473648071,14.1591844558716,13.6299352645874,13.2839851379395,0.998690451872798,0.000498588007090683,56.7304690078189,23.3803733419877,2.4498507e-07,2.4497805e-07
"V146",15.0103645324707,-39.6932334899902,3.84961605072021,15.7937641143799,15.101861000061,14.5894155502319,14.223240852356,0.998685786680934,6.57026857364684e-08,56.1062753322794,22.4638348467229,2.5885595e-07,2.5884827e-07
"V425",17.8392028808594,-40.1227188110352,4.24183750152588,15.463809967041,14.7091732025146,14.1240501403809,13.6862955093384,0.998679283183427,0.943365588144366,55.4266882577883,23.9158907808083,2.4374717e-07,2.4374117e-07
"V612",16.0008182525635,-37.1924476623535,3.32492469787597,14.147876739502,13.5662403106689,13.0454759597778,12.7059915161133,0.998676349837469,0.00965028036692506,57.0373071965252,23.7064518332998,2.1475128e-07,2.1475128e-07
"V481",15.3193264007568,-37.8445205688477,3.43964290618896,14.6521854400635,14.0254821777344,13.4737024307251,13.143214225769,0.998675267828999,0.000878375712918489,56.7754148039985,23.7556170200966,1.4970001e-07,1.4969841e-07
"V747",15.3613891601562,-37.1088905334473,3.54971527099609,13.7720851898193,13.1605072021484,12.5254740142822,12.2097585296631,0.998664933800628,0.608406107208156,56.7512281947511,24.4734895864294,2.2189784e-07,2.2189784e-07
"V150",16.6615905761719,-38.9072799682617,3.63525199890137,15.3381366729736,14.6945304870605,14.1869163513184,13.8254013061523,0.998664898147227,8.98712682861902e-06,56.936089899941,22.2122352721856,2.0457341e-07,2.0457075e-07
"V605",16.3625087738037,-37.3275184631348,3.20175933837891,13.1748857498169,12.6730003356934,12.0310001373291,11.798999786377,0.998661152780392,0.275277108375634,57.0636520123361,23.7009004736966,2.0388924e-07,2.0388924e-07
"V905",18.5522651672363,-40.7566413879395,3.17387699127197,13.3602542877197,12.8139409637451,12.2250003814697,11.9253261184692,0.998654455044695,0.108787995409636,55.8922535762115,25.5905181873785,2.2430959e-07,2.2430959e-07
"V2506",14.8972415924072,-41.0291481018066,3.11270545959472,NA,12.2049999237061,11.5729999542236,11.2586982345581,0.998650947632456,0.330096983591995,57.7980438266401,24.3870009285325,1.4124781e-07,1.4124515e-07
"V376",15.7706985473633,-41.4131851196289,3.25519393920898,14.0909223556519,13.5535335540771,13.0461397171021,12.7197940444946,0.998641687163515,0.0089611226170988,55.0785360355918,23.9064685996578,4.015994e-07,4.0159168e-07
"V746",16.8204746246338,-40.2004165649414,3.82499694824219,15.6082448959351,14.9060611724854,14.3498764038086,13.9637355804443,0.998641546824814,4.71111577726724e-06,56.7286613455927,24.4665696905421,2.5751672e-07,2.5751672e-07
