"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V6777",29.637866973877,-11.1214637756348,NA,NA,10.1490001678467,9.64900016784668,9.5310001373291,0.112099034272079,3.14078298901954e-06,56.3533959412396,21.1907007348442,4.5475417e-06,4.5475417e-06
"V4560",39.2628936767578,-22.339183807373,NA,NA,16.4080009460449,15.6960000991821,15.3819999694824,0.112009115631727,0.0256705475768969,52.6005265588653,19.6448847502544,2.7981582e-06,2.7969174e-06
"V10217",13.0308818817139,-16.7148551940918,NA,13.5093326568604,13.0393743515015,12.3310188674927,12.154962310791,0.11198928219876,7.40116447017769e-08,56.7222320941017,21.2929607378708,3.393687e-07,3.3932372e-07
"V4121",32.3859748840332,-27.2383899688721,NA,15.4057865142822,14.8554744720459,14.2629013061523,13.9957876205444,0.111843232650689,0.00330713602617805,51.9063868148042,24.3006044835443,2.4822675e-06,2.4822675e-06
"V13946",13.8608016967773,-13.2589960098267,NA,13.988356590271,13.467022895813,12.7819284820557,12.5376098251343,0.111674408582375,7.24836990428912e-09,62.1542027463037,26.5044393795259,8.4054454e-07,8.4007723e-07
"V10055",8.3377046585083,-18.1468963623047,NA,13.8733072280884,13.3533811569214,12.6733421707153,12.4768884277344,0.111630849715779,3.07185413883637e-07,58.653061400593,22.9435425888333,3.3370114e-07,3.3370114e-07
"V10867",-4.23909139633179,-27.5536994934082,NA,16.8858470916748,16.1155490875244,15.5089569091797,15.1522417068481,0.111613923895373,1.34478844726615e-08,62.1243767499385,25.9255036515448,1.7032276e-06,1.703122e-06
"V4736",26.5863590240479,-38.7698135375977,NA,16.0128765106201,15.4598999023438,14.8318395614624,14.5460004806519,0.111545735013422,2.2984880097332e-05,61.2511464498099,21.5178433799059,1.1805049e-06,1.1792115e-06
"V86887",52.0098915100098,-36.207649230957,NA,15.5710372924805,14.9664735794067,14.3247356414795,13.9774646759033,0.111503733633539,0.0494197316924543,62.3384400462553,23.6209819961237,7.163403e-07,7.163403e-07
"V12754",2.06987762451172,-21.3529739379883,NA,14.8684339523315,14.3025140762329,13.7197484970093,13.4253377914429,0.11144620383695,4.16314910278714e-06,55.5930111205944,20.099937054113,4.98692e-07,4.986272e-07
"V9025",28.4055137634277,-22.8512210845947,NA,NA,11.6979999542236,11.0579996109009,10.9379997253418,0.111421211541925,1.0219362495123e-06,59.1565141208796,24.1973045474904,3.4903294e-07,3.4900427e-07
"V3875",28.0142230987549,-1.39298725128174,NA,NA,9.81700038909912,9.48600006103516,9.41399955749512,0.111384428690569,3.22031112887089e-09,55.5350342991007,26.9779332624219,1.0445494e-06,1.043239e-06
"V83945",-27.9886837005615,-42.7670135498047,NA,14.4754657745361,13.9129467010498,13.2948093414307,12.9430558776855,0.111328062140257,0.0814463741600209,53.6303665189018,20.8080377849726,2.66359e-06,2.66359e-06
"V13409",16.0231781005859,-13.1124515533447,NA,NA,10.2950000762939,9.75899982452393,9.66499996185303,0.111229081608626,2.52657095245468e-09,60.7919346204784,26.3942279924007,1.0156515e-06,1.0156515e-06
"V6146",4.4789571762085,-10.6211528778076,NA,NA,8.93200016021729,8.75899982452393,8.69600009918213,0.111201965252259,4.29011492997233e-10,59.9953461456333,21.3725600235064,1.9083677e-06,1.9083677e-06
"V6107",10.3222723007202,-19.7555351257324,NA,14.4421052932739,13.9340076446533,13.2971143722534,13.0528993606567,0.11114387453134,1.18460799303222e-06,55.7214488129711,26.5951709943301,8.0995494e-07,8.0995494e-07
